Date- 10/06/2025,,,,,,,,,,,,,,,,,,,,,,,
 Aim - To compare the effects of nickel and stainless steel mesh of ONGC water.,,,,,,,,,,,,,,,,,,,,,,,
Effluent - ONGC,,,,,,,,,,,,,,,,,,,,,,,
Volume - 3.6 L,,,,,,,,,,,,,,,,,,,,,,,
Volatge - 2.1,,,,,,,,,,,,,,,,,,,,,,,
TBM - 2 (Nickel Mesh),Start Time,Pressure Before (in bar gauge),Pressure After (in bar gauge),Voltage,Current in Amps,H2%,H2 Volume,H2 in grams,"Power 
(W)",Current Density (A/m2),,TBM - 5 (SS MESH),Start Time,Pressure Before (in bar gauge),Pressure After (in bar gauge),Voltage,Current in Amps,H2%,H2 Volume,H2 in grams,"Power 
(W)",Current Density (A/m2),
T0 (10/6/25),12:53,0,-,2.1,7.19,-,-,-,-,-,,T0,15:03,0,-,2.1,9.18,-,-,-,-,-,
T1,13:53,2.88,0,2.1,7.89,66.61%,1.7265312,0.1446833146,16.569,30.76023392,,T1,16:03,3,0,2.1,9.26,80.31%,2.16837,0.181709406,19.446,36.10136452,2.43 - 2.94
T2,14:53,2.49,0,2.1,7.85,90.28%,2.0231748,0.1695420482,16.485,30.6042885,1.46 - 2.07,T2,17:03,3.36,0,2.1,10.02,92.96%,2.8111104,0.2355710515,21.042,39.06432749,
T3,15:53,3,0,2.1,7.75,91.62%,2.47374,0.207299412,16.275,30.21442495,2.4 - 2.52,T3,18:03,3.45,0,2.1,10.39,95.30%,2.959065,0.247969647,21.819,40.50682261,
T3.5,16:23,1.57,0,2.1,7.71,95.41%,1.3481433,0.1129744085,16.191,30.05847953,,T3.5,18:33,2.3,0,2.1,10.16,93.97%,1.945179,0.1630060002,21.336,39.61013645,
T4,16:53,1.53,0,2.1,7.66,86.95%,1.1973015,0.1003338657,16.086,29.86354776,,T4,19:03,2.24,0,2.1,10.59,92.14%,1.8575424,0.1556620531,22.239,41.28654971,
T4.5,17:23,1.51,0,2.1,7.52,92.83%,1.2615597,0.1057187029,15.792,29.31773879,,T4.5,19:33,2,0,2.1,9.97,96.01%,1.72818,0.144821484,20.937,38.86939571,
T5,17:53,1.52,0,2.1,7.72,92.89%,1.2707352,0.1064876098,16.212,30.09746589,,T5,20:03,2.06,0,2.1,9.65,88.76%,1.6456104,0.1379021515,20.265,37.62183236,
T5.5,18:23,1.48,0,2.1,6.95,86.62%,1.1537784,0.09668662992,14.595,27.09551657,,T5.5,20:33,2.03,0,2.1,9.97,87.50%,1.598625,0.133964775,20.937,38.86939571,
T6,18:53,1.37,0,2.1,6.95,80.40%,0.991332,0.0830736216,14.595,27.09551657,,T6,21:03,1.81,0,2.1,8.65,93.78%,1.5276762,0.1280192656,18.165,33.72319688,
